"Sizes: (feet) 10 × 30 × 14
10 × 40 × 14
10 × 55 × 15",,
Use:,"Gross Floor Area
of Structure","Required Loading Space
Per Square Foot
of Floor Area"
"Financial services, business or
professional office, meeting","0—10,000",0
,"10,001—100,000",1 (10 × 30)
,"100,001—200,000",1 (10 × 30) + 1 (10 × 40)
,"200,001 or more","1 (10 × 30) + 1 (10 × 40) +
additional spaces as required by the Director"
"Hotel, motel, meeting,
convention, or exhibition halls","0—10,000",0
,"10,001—150,000",1 (10 × 30)
,"150,001—300,000",1 (10 × 30) + 1 (10 × 40)
,"300,001—500,000",1 (10 × 30) + 1 (10 × 40) + 1 (10 × 55)
,"500,001 or more","1 (10 × 30) + 1 (10 × 40) + 1 (10 × 55) +
additional spaces as determined by the Director"
