"Accessory apartment
Condominium residential
Multifamily residential","Efficiency dwelling unit: 1 space
1 bedroom dwelling unit: 1.5 spaces
Dwelling unit larger than 1 bedroom: 1.5 spaces plus 0.5 space for
each additional bedroom",None
"Duplex residential
Single-family attached residential
-Standard
-If larger than 4,000 sq. ft. or more than 6
bedrooms","4 spaces
4 spaces or 1 space for each bedroom, whichever is greater",None
Bed and breakfast residential,1 space plus 1 space for each rental unit,None
Group residential,1 space plus 1 space for each 2 lodgers or tenants,Schedule C
Retirement Housing,"80% of the parking otherwise required by this table for the residential
use classification",Schedule C
Commercial Uses,,
Agricultural sales and service,Schedule A,Schedule C
Art gallery,1 space for each 500 sq. ft.,None
Art workshop,Schedule B,None
Automotive rentals,Schedule A,Schedule B
Automotive repair service,1 space for each 275 sq. ft.,Schedule C
Automotive sales,Schedule A,Schedule C
Automotive washing,,None
• Automatic (full service),1 space for each 2 employees plus 6 queue spaces for each queue line,
• Manual (coin-operated),3 queue spaces for each queue line,
Bail bond services,1 space for each 275 sq. ft.,None
"Building maintenance services
Business support services",Schedule A,Schedule C
Business and professional offices,1 space for each 275 sq. ft.,Schedule C
"Business or trade school
Campground
Carriage stable",Schedule B,Schedule B
Cocktail lounge or dance hall,,Schedule C
"• <2,500 sq. ft.",1 space for each 100 sq. ft.,
"• 2,500—10,000 sq. ft.",1 space for each 50 sq. ft.,
