"• ≤2,500 sq. ft.",1 space for each 100 sq. ft.,
"• >2,500 sq. ft.",1 space for each 75 sq. ft.,
"• If no customer service or dining area is
provided",1 space for each 275 sq. ft.,
Drive-in service,8 queue spaces for each service lane,
Scrap and salvage services,Schedule A,Schedule C
Service station,,Schedule B
• Fuel sales,See Transportation Criteria Manual Section 9.4.5,
• Lubrication service,1 parking space for each bay and 3 queue spaces for each bay,
Software development,1 space for each 275 sq. ft.,Schedule C
Special use historic,The parking required for the use by this table,Schedule B
Stables,Schedule B,Schedule B
Vehicle storage,None,None
Veterinary services,1 space for each 500 sq. ft.,Schedule B
Industrial Uses,,
Basic industry,Schedule A,Schedule C
Custom manufacturing,,
General warehousing and distribution,,
Light manufacturing,,
Limited warehousing and distribution,,
Recycling center,,
Civic Uses,,
Administrative services,1 space for each 275 sq. ft.,Schedule C
"Adult care services (commercial, general, or
limited)",1 space for each employee,Schedule B
"Aviation facilities
Camp
Cemetery",Schedule B,Schedule B
Club or lodge,1 space for each 5 persons capacity,Schedule B
College and university facilities,,Schedule B
