Activity,Requirement
Beer or ale sales for on-site consumption at a brewery,
"<2,500 sq. ft.",1 space for each 275 sq. ft.
"2,500—10,000 sq. ft.",1 space for each 100 sq. ft.
">10,000 sq. ft.",1 space for each 50 sq. ft.
Office or administrative activity,1 space for each 275 sq. ft.
"Indoor sales, service, or display",1 space for each 500 sq. ft.
"Outdoor sales, services, or display",1 space for each 750 sq. ft.
"Indoor storage, warehousing, equipment servicing, or manufacturing","1 space for each 1,000 sq. ft."
"Outdoor storage, equipment servicing, or manufacturing","1 space for each 2,000 sq. ft."
Commercial off-street parking requires one bike parking space for every 10 motor vehicle parking spaces.,
