Group H-5 Fabrication and manufacturing areas,200 gross
Industrial areas,100 gross
Information technology equipment facilities,300 gross
Institutional areas,
Inpatient treatment areas,240 gross
Outpatient areas,100 gross
Sleeping areas,120 gross
"Kitchens, commercial",200 gross
Library,
Reading rooms,50 net
Stack area,100 gross
Locker rooms,50 gross
Mall buildings—covered and open,See Section 402.8.2
Mercantile,60 gross
"Storage, stock, shipping areas",300 gross
Parking garages,200 gross
Residential,200 gross
"Skating rinks, swimming pools",
Rink and pool,50 gross
Decks,15 gross
Stages and platforms,15 net
Warehouses,500 gross
"For SI: 1 square foot = 0.0929 m2.
a. Floor area in square feet per occupant.",
