Typical water supply fixture units1,Water meter size2,Typical number of bathrooms
35 fixture units,"⅝"" meter",3 bathrooms or less
40 fixture units,"¾"" meter",3½ bathrooms
44 fixture units,"¾"" meter",4 bathrooms
52 fixture units,"¾"" meter",5 bathrooms
55.5 fixture units,"¾"" meter",5½ bathrooms
70 fixture units,"1"" meter",6 bathrooms
78 fixture units,"1"" meter",7 bathrooms
84.5 fixture units,"1"" meter",8 bathrooms
1. Standard rounding conventions apply when determining Water Supply Fixture Units (WSFU).,,
"2. To be approved for a meter size based on the WSFU, an applicant must provide calculations when the Water and Wastewater Service Plan
and Verification consultation with Austin Water Utility occurs. The calculations must be based on the total WSFU count for the property.",,
