"Inspect and clean fdters and screens, and replace (when necessary).",Every 3 months
"Inspect and verify disinfection, filters, and water quality treatment
devices and systems are operational and maintaining minimum water
quality requirements as determined by the authority having
jurisdiction.","As required by manufacturer's instructions and the authority having
jurisdiction."
"Inspect and clear debris from rainwater gutters, downspouts, and roof
washers.",Every 6 months
"Inspect and clear debris from roof or other aboveground rainwater.
Collection surfaces.",Every 6 months
Remove tree branches and vegetation overhanging roof or other as needed aboveground rainwater collection surfaces.,
Inspect pumps and verify operation.,After installation and every 12 months thereafter.
Inspect valves and verify operation.,After installation and every 12 months thereafter.
Inspect pressure tanks and verify operation.,After installation and every 12 months thereafter.
"Clear debris from and inspect storage tanks, locking devices, and
verify operation.",After installation and every 12 months thereafter.
Inspect caution labels and markings.,After installation and every 12 months thereafter.
Inspect and maintain mulch basins for gray water irrigation systems.,As needed to maintain mulch depth and prevent ponding and runoff.
Cross-connection inspection and test.*,"After installation and reoccurring thereafter as deemed appropriate
by the authority having jurisdiction."
* The cross-connection test must be performed consistent with the requirements of Chapter 15-1 (Cross-Connections Regulations).,
