R403.8,Systems serving multiple dwelling units
R403.10,Energy consumption of pools and spas
R403.ll,Portable spas
R403.12,Residential pools and permanent residential spas
R403.13,Gas fireplaces
R403.14,Space heating
Electrical Power and Lighting Systems,
R404.1,Lighting equipment
R404.2,Interior lighting controls
Chapter 7 [RE],Residential Solar Ready
Appendix RE,Electric Vehicle Power Transfer
Appendix RJ,Demand Responsive Controls
Appendix RK,Electric Readiness
a Reference to a code section includes all the relative subsections except as indicated in the table.,
