Open Space,"Provides open space at least 10% above the requirements of Section 2.3.1.A. (Minimum
Requirements). Alternatively, within the urban roadway boundary established in Figure 2 of
Subchapter E of Chapter 25-2 (Design Standards and Mixed Use), provide for proportional
enhancements to existing or planned trails, parks, or other recreational common open space
in consultation with the Director of the Parks and Recreation Department."
"Environment/
Drainage","Complies with current code instead of asserting entitlement to follow older code provisions by
application of law or agreement."
,Provides water quality controls superior to those otherwise required by code.
,"Uses green water quality controls as described in the Environmental Criteria Manual to treat at
least 50 percent of the water quality volume required by code."
,"Provides water quality treatment for currently untreated, developed off-site areas of at least
10 acres in size."
,"Reduces impervious cover by five percent below the maximum otherwise allowed by code or
includes off-site measures that lower overall impervious cover within the same watershed by
five percent below that allowed by code."
,"Provides minimum 50-foot setback for at least 50 percent of all unclassified waterways with a
drainage area of 32 acres."
,Provides volumetric flood detention as described in the Drainage Criteria Manual.
,"Provides drainage upgrades to off-site drainage infrastructure that does not meet current
criteria in the Drainage or Environmental Criteria Manuals, such as storm drains and culverts
that provide a public benefit."
,Proposes no modifications to the existing 100-year floodplain.
,Uses natural channel design techniques as described in the Drainage Criteria Manual.
,"Restores riparian vegetation in existing, degraded Critical Water Quality Zone areas."
,Removes existing impervious cover from the Critical Water Quality Zone.
,"Preserves all heritage trees; preserves 75% of the caliper inches associated with native
protected size trees; and preserves 75% of all of the native caliper inches."
,Tree plantings use Central Texas seed stock native and with adequate soil volume.
,"Provides at least a 50 percent increase in the minimum waterway and/or critical environmental
feature setbacks required by code."
,"Clusters impervious cover and disturbed areas in a manner that preserves the most
environmentally sensitive areas of the site that are not otherwise protected."
,"Provides porous pavement for at least 20 percent or more of all paved areas for non-
pedestrian in non-aquifer recharge areas."
,"Provides porous pavement for at least 50 percent or more of all paved areas limited to
pedestrian use."
