"Printing and
Publishing",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,—,
Professional Office,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,P,P,—,
"Recreational
Equipment Maint.
& Stor.",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,
"Recreational
Equipment Sales",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,
"Research Assembly
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Research Services,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Research Testing
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Research
Warehousing
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Restaurant
(General)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,
"Restaurant
(Limited)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,—,
Scrap and Salvage,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Service Station,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,
"Software
Development",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,P,P,—,
Special Use Historic,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Stables,—,C,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Theater,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,P,P,P,
Vehicle Storage,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Veterinary Services,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
INDUSTRIAL USES,,,,,,,,,,,,,,,,,,,,,
Basic Industry,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Custom
Manufacturing",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
