"Military
Installations",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Park and
Recreation Services
(General)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Park and
Recreation Services
(Special)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Postal Facilities,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Private Primary
Educational
Facilities",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,C,
"Private Secondary
Educational
Facilities",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,C,
"Public Primary
Educational
Facilities",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,
"Public Secondary
Educational
Facilities",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,
Railroad Facilities,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Religious Assembly,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,
"Residential
Treatment",—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,C,C,C,C,—,
Safety Services,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,—,
"Telecommunication
Tower 7",PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,
"Transitional
Housing",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Transportation
Terminal",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
All other Civic Uses,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"1-Refers to 25-2-602 (13-2-225); 2-Refers to 25-2-622 (13-2-226); 3-Refers to Subchapter B, Art. 2, Div 5; 4 Refers to 25-2-624 (13-2-227); 5-Refers to 2
25-2-842; 9-Refers to 25-2-863; 10-Subject to 25-2-177 & 25-2-650; 11-Subject to 25-2-587 (D); 12-Subject to 25-2-816; 13-Permitted in MU and V com
817; 16-Refers to 25-2-811; 17-Permitted in MU and V combining districts, subject to 25-2-789.
PC - Permitted in the district, but under some circumstances may be conditional; CP - Conditional in the district, but under some circumstances ma",,,,,,,,,,,,,,,,,,,,,
