2.3: Connectivity,"2.3.1. Improvements to Encourage
Pedestrian, Bicycle, and Vehicular
Connectivity",All roadway types,"- Projects with a net site area of
three acres or more in all non-
residential zoning districts
- Projects with a net site area of less
than three acres that have parking
between the building and the
principal street in all zoning districts"
2.4: Building Entryways,All standards,Core Transit Corridor,All zoning districts
,,"- Urban Roadway
- Suburban Roadway
- Internal Circulation Route
- Highway
- Hill Country Roadway",All non-residential zoning districts
2.5: Exterior Lighting,All standards,All roadway types,All zoning districts
"2.6: Screening of Equipment and
Utilities",All standards,All roadway types,"- All non-residential zoning districts
- The following uses are exempt, in
addition to the general exemptions
of Section 1.2.4.: local utilities
services use, electric service
transformers within the right-of-
way, telecommunication tower"
"2.7: Private Common Open Space
and Pedestrian Amenities",All standards,All roadway types,"All site plans two acres in size or
larger, and all multifamily and
condominium uses except as
provided in 25-2-776 and 25-2-780
of the LDC"
2.8: Shade and Shelter,All standards,All roadway types,"- Development of any non-
residential land use except for
congregate care facilities zoned MF
for which the principal street is not
a Core Transit Corridor
- This section applies to any
building frontage. Building façades
facing loading areas, rear service
areas, or façades adjoining other
buildings (attached to more than 50
percent of the sidewall) are exempt."
ARTICLE 3: BUILDING DESIGN STANDARDS,,,
"3.2: Glazing and Façade Relief
Requirements",All standards,All roadway types,"- Development of any non-
residential land use, except for
congregate care facilities zoned MF
for which the principal street is not
a Core Transit Corridor
- Religious Assembly use shall be
exempt from glazing requirements."
"3.3: Options to Improve Building
Design",All standards,All roadway types,"- Development of any commercial
use of 10,000 square feet or more
that requires a building permit
- Development of any commercial
use of less than 10,000 square feet
that contains any exterior
trademarked design features
- Any building zoned for industrial
use or warehouse use at the point
its use is converted to commercial
- VMU buildings with external
trademarked design features (not
including signs)
- Office development is exempt
from this section"
ARTICLE 4: MIXED USE,,,
