"TABLE D: NEIGHBORHOOD
DESIGN STANDARDS",
Required Elements for the Façade,Description
"Design and place windows to maintain privacy for both adjoining
property owners and residents of the project.","Window location, size and placement should take into account views
into and from neighboring single-family properties so as to provide
privacy."
"Windows facing single family shall have visual transmittance (VT) of 0.6
or higher to minimize reflectivity.",
"Provide visual screening for decks, patios, and public spaces.",For a parking structure:
• Screen vehicle lights from view of adjacent triggering zoning or use.,
"No amplified music in outdoor commercial or retail areas on the side
of property adjacent to SF-5 or more restrictive zoning or use.","Applies only to side of property adjacent to SF-5 or more restrictive
zoning or use."
"Prohibit trash pickup and commercial deliveries between 10 p.m. and
7 a.m.",Prohibition must be noted on the site plan.
In addition a VMU building subject to this subsection must comply with at least one of the following neighborhood design standards:,
Menu of Options,Description
"Ensure that the façade of a parking structure facing SF-5 or more
restrictive zoning or use, breaks down the horizontal plane of the
parking structure through the use of either:
1) Screening with materials sympathetic to those used on the VMU
building, or
2) Creating openings on each floor that generally conform to the size
and proportion of the windows on the VMU building and the use of
materials sympathetic to those used on the VMU building.","Director shall require elevation identifying materials as part of the Site
Plan process."
Enclose dumpsters within building or parking structure.,
Enclose mechanical equipment within building or parking structure.,
