TABLE OF PERMITTED USES,,
Residential Uses,MRA,NCA
Condominiums,P,P*
Duplex Residential,P,X
Group Residential,P,P*
Lodging House Residential,P,P*
Multi-Family Residential,P,P*
Retirement Housing (Large Site),X,P*
Retirement Housing (Small Site),P,P*
Single Family Residential,P,X
Townhouse Residential,P,P*
,,
Commercial Uses,MRA,NCA
Administrative & Business Office,P,P
Art Gallery,P,P
Art Workshop,X,P
Automotive Rentals,X,P*
Automotive Repair Services,X,P*
Building Maintenance Services,X,P
Business or Trade School,X,P
Business Support Services,X,P
Cocktail Lounge,P,P
Commercial Blood Plasma Center,X,P
Commercial Off-Street Parking,X,P*
Communications Services,X,P
