Consumer Convenience Services,P,P
Consumer Repair Services,P,P
Drop-off Recycling Collection Facility,X,P
Electronic Prototype Assembly,X,P
Exterminating Services,X,P
Financial Services,X,P
Food Preparation,X,P
Food Sales,P,P
General Retail Sales (Convenience),P,P
General Retail Sales (General),X,P
Hotel-Motel,X,P
Indoor Entertainment,X,P
Indoor Sports & Recreation,X,P
Kennels,X,P*
Liquor Sales,X,P
Medical Offices,P,P
Off-site Accessory Parking,X,P
Outdoor Sports & Recreation,P,P
Pawn Shop Services,X,P
Personal Improvement Services,P,P
Personal Services,P,P
Pet Services,P,P
Printing and Publishing,X,P
Professional Office,P,P
Research Assembly Services,X,P
Restaurant (General),P,P
Restaurant (Limited),P,P
Service Station,X,P*
Software Development,P,P
